,Unnamed: 0,Date,User,Tweet,English
0,0,2022-12-26 09:42:37+00:00,DS63282317,"【IPO考察 5247 BTM】
12/27 東証G上場 

■事業内容
・地方人財を活用したDX推進支援
・地方×IT人材派遣(80%)&amp;DXソリューション(20%)
・IT×地方創生が特徴
・調達資金は人材確保と借金返済

↓業績↓ https://t.co/iHT9aIM0Ur","[IPO Consideration 5247 BTM]
12/27 TSE G listing

■ Business content
・ Support for DX promotion utilizing local human resources
・Regional × IT staffing (80%) & DX solutions (20%)
・ Features IT x regional revitalization
・Procurement funds will be securing human resources and repaying debts

↓ Achievements ↓ https://t.co/iHT9aIM0Ur"
1,1,2022-12-23 03:35:00+00:00,Seihy,地方創生、困ったら「アート」に頼りがち。あると思います！,"Regional revitalization, people tend to rely on ""art"" when in trouble. I think there is!"
2,2,2022-12-22 14:36:41+00:00,Yopi_HERO,今日は地方創生/地域活性文脈で、北海道北陸中国関西エリアで活躍される地場のエージェントの方たちzoomで意見交換。人材協以外でこの集まりはあまりないかもね？来年はこのグループで案件うみだしたいな🤔,"Today, in the context of regional revitalization / regional revitalization, local agents who are active in the Hokkaido Hokuriku Chugoku Kansai area exchanged opinions on zoom. There may not be many of these gatherings outside of the Human Resources Association. Next year I want to make a project with this group 🤔"
3,3,2022-12-22 14:02:29+00:00,yankawasae,本日は地方創生ミーティング！どーんと語らいました！動きます！あざまーす！ https://t.co/T7obaHqxqO,Local revitalization meeting today! What did you say! will move! I'm sorry! https://t.co/T7obaHqxqO
4,4,2022-12-22 09:15:04+00:00,junichisaito,売れっ子編集者が心がけているライティングでもっとも大事なこと｜齋藤潤一@地方創生 @junichisaito #note https://t.co/amowF3j4E4,The most important thing in writing that a popular editor keeps in mind | Junichi Saito @ Junichisaito #note https://t.co/amowF3j4E4
5,5,2022-12-22 03:43:59+00:00,Rukahi,@ashitawawatashi 第二次安倍政権以降、年金対策も少子高齢化対策も、経済対策も、地方創生も、女性活躍も、スローガンだけで何一つ進むどころか後退するばかりです。彼らが頑張ったのは、株価と為替の誘導だけで、金持ちと大企業を一時的に潤しただけで一般庶民へのトリクルダウンも無し。（続く）,"@ashitawawatashi Since the second Abe administration, the slogan alone has not progressed, it has only retreated in terms of pension measures, measures to address the declining birthrate and aging population, economic measures, regional revitalization, and women's empowerment. They did their best only to induce stock prices and exchange rates, and they only temporarily enriched the rich and large companies, and there was no trickle down for the general public. (Continue)"
6,6,2022-12-22 01:15:11+00:00,kochizo,"昨日の夜は地方創生系忘年会って感じで楽しかったです！パーティ感あるな。
そして、最後の写真は週刊潤春！なヤラセ写真？(笑)
ってすっごい仲良しズッ友会みたいな雰囲気だけど、ほぼ初めましてですw
けど、楽しかったです💕 https://t.co/C57OrOYVy4","Last night was fun as if it was a local revitalization year-end party! It feels like a party.
And the last photo is Weekly Junshun! A fake photo? (smile)
The atmosphere is like a group of friends who are really good friends, but it's almost nice to meet you lol
But it was fun💕 https://t.co/C57OrOYVy4"
7,7,2022-12-21 10:57:58+00:00,karosuke,"久しぶりのnote。渾身作。

「自分の人生を世の中に決められたくない」…個人への寛容性が地方創生のカギ
https://t.co/IQJzlmIP2M","Long time no note. Whole body work.

“I don’t want the world to decide my life”…Tolerance towards individuals is the key to regional revitalization
https://t.co/IQJzlmIP2M"
8,8,2022-12-18 14:31:49+00:00,dms9000,“草の根VTuber”の接客で売り上げは目標の倍に　ベンチャーが仕掛ける地方創生 https://t.co/yTwAC78vJi,"""Grassroots VTuber"" customer service doubles sales target Regional revitalization by a venture https://t.co/yTwAC78vJi"
9,9,2022-12-18 07:52:23+00:00,nanikaga55ko,"日本のトレンド入ってる。笑
毎年毎年地方創生やんM-1

 #ひらかた大菊人形","It's trending in Japan. smile
Every year, regional revitalization Yan M-1

 #Hirakata Daikiku Doll"
10,10,2022-12-16 04:50:07+00:00,tora0849,@natsu_ishi そりゃあもう😆何せ地方創生関連の会議だし👍🏻,@natsu_ishi Well 😆 it's a meeting related to regional revitalization after all 👍🏻
11,11,2022-12-13 12:40:33+00:00,karosuke,"今週16日（金）締め切り！
800人規模の地域（下関）×スタートアップをテーマとした地方創生サミットです。
当日、スタートアップと地域（地域中核企業や行政）が接点を持つためのピッチイベントがあり、登壇企業を募集しています！
（私はピッチではないですが登壇します☺️）","Deadline this Friday, the 16th!
This is a regional revitalization summit with the theme of a region (Shimonoseki) with a scale of 800 people and startups.
On the day of the event, there will be a pitch event for startups and regions (regional core companies and governments) to have contact points, and we are looking for companies to speak!
(I'm not on the pitch, but I'll be on stage ☺️)"
12,12,2022-12-13 02:12:07+00:00,ozzyiida,移住して2ヶ月で琵琶湖が大好きになった話｜中村凜之介｜Notion×地方創生 @rinno_____89 #note #スキしてみて https://t.co/kLF4XH9Xj9,A story about how I fell in love with Lake Biwa two months after I moved ｜ Rinnosuke Nakamura ｜ Notion x Regional Creation @rinno_____89 #note #Sukite try https://t.co/kLF4XH9Xj9
13,13,2022-12-13 00:49:05+00:00,nobu3nobu,"最近サイクリングに関する情報が多く発信されている気がする。
今朝も日経に記事が出ていた。
ブーム来るのか？
#サイクリング 
#スポーツツーリズム
#地方創生 

サイクリングで健康増進：日本経済新聞
https://t.co/WGh5NCHubl","I feel like there's been a lot of information about cycling recently.
There was an article in the Nikkei this morning.
Is it going to boom?
#cycling
#sports tourism
#Regional revitalization

Health promotion by cycling: Nihon Keizai Shimbun
https://t.co/WGh5NCHubl"
14,14,2022-12-11 22:04:36+00:00,kajikihidetaka,"「人口5万人の街に、100万人呼んだ男が教える。新時代の地方創生塾」樋渡啓祐塾長からの学び。 https://t.co/zY16nrQ8n2
#マグロちゃんブログ","“In a city of 50,000 people, a man who invited 1 million people teaches. A new era of regional revitalization school” Learning from Keisuke Hiwatari, the president of the school. https://t.co/zY16nrQ8n2
#maguro-chan blog"
15,15,2022-12-10 00:23:52+00:00,kyoujuhs,#Nowplaying 地方創生プログラム　ONE-J 20221113 - 本仮屋ユイカ／斉藤慎二（ジャングルポケット）　ゲスト：あすか（フードアナリスト） (地方創生プログラム　ONE-J) https://t.co/qlLaF2z1tI,#Nowplaying Regional Revitalization Program ONE-J 20221113 - Yuika Motokariya / Shinji Saito (Jungle Pocket) Guest: Asuka (Food Analyst) (Regional Revitalization Program ONE-J) https://t.co/qlLaF2z1tI
16,16,2022-12-09 15:20:44+00:00,matsushita_uq,地方創生の切り札に　和田浩一・観光庁長官インタビュー : 読売新聞オンライン https://t.co/SVpLT0FCcI,"Interview with Koichi Wada, Commissioner of the Japan Tourism Agency as a trump card for regional revitalization: Yomiuri Shimbun Online https://t.co/SVpLT0FCcI"
17,17,2022-12-09 09:06:19+00:00,NFT_taiga,"ANGOを知るチャンス！

地方創生×NFT
見逃せない👀","A chance to get to know ANGO!

Regional revitalization x NFT
Don't miss 👀"
18,18,2022-12-09 01:24:49+00:00,M_Cooking_Papa,"全国鐵構工業協会青年部様の役員会にて登壇の機会をいただきました
さすがは工業の根幹産業の皆様との会話は熱い日本の未来に向けての議論になりました！当面は鐵推しで参ります
#LINEワークス #LINEWORKS ＃地方創生 #鐵構 https://t.co/bCP3RYstQ2","I had the opportunity to speak at the board meeting of the Youth Division of the Japan Steel Industry Association.
As expected, the conversation with everyone in the core industry of industry turned into a hot discussion for the future of Japan! For the time being, I will come by iron push
# LINE WORKS # LINEWORKS # Regional Creation # Steel Structure https://t.co/bCP3RYstQ2"
